DisplayName: ObjectModel.can1:mac54/iDrive.Accu@IPS_10.183.155.184,SignalName: ObjectModel.can1:mac54/iDrive.Signal.Accu@IPS_10.183.155.184,Source: RC06,Unit: rev,SignalType: Analog
16:12:2014 16:13:48:019,842.6489258,,,
16:12:2014 16:13:48:019,842.6494141,,,
16:12:2014 16:13:48:117,842.6494141,,,
16:12:2014 16:13:48:117,842.6489258,,,
16:12:2014 16:13:48:199,842.6489258,,,
16:12:2014 16:13:48:199,842.6494141,,,
16:12:2014 16:13:48:304,842.6494141,,,
16:12:2014 16:13:48:304,842.6489258,,,
16:12:2014 16:13:48:372,842.6489258,,,
16:12:2014 16:13:48:372,842.6494141,,,
16:12:2014 16:13:48:459,842.6494141,,,
16:12:2014 16:13:48:459,842.6489258,,,
16:12:2014 16:13:48:526,842.6489258,,,
16:12:2014 16:13:48:526,842.6494141,,,
16:12:2014 16:13:48:655,842.6494141,,,
16:12:2014 16:13:48:655,842.6489258,,,
16:12:2014 16:13:48:705,842.6489258,,,
16:12:2014 16:13:48:705,842.6494141,,,
16:12:2014 16:13:48:820,842.6494141,,,
16:12:2014 16:13:48:820,842.6489258,,,
16:12:2014 16:13:48:885,842.6489258,,,
16:12:2014 16:13:48:885,842.6494141,,,
16:12:2014 16:13:48:997,842.6494141,,,
16:12:2014 16:13:48:997,842.6489258,,,
16:12:2014 16:13:49:061,842.6489258,,,
16:12:2014 16:13:49:061,842.6494141,,,
16:12:2014 16:13:49:172,842.6494141,,,
16:12:2014 16:13:49:172,842.6489258,,,
16:12:2014 16:13:49:222,842.6489258,,,
16:12:2014 16:13:49:222,842.6494141,,,
16:12:2014 16:13:49:318,842.6494141,,,
16:12:2014 16:13:49:318,842.6489258,,,
16:12:2014 16:13:49:399,842.6489258,,,
16:12:2014 16:13:49:399,842.6494141,,,
16:12:2014 16:13:49:486,842.6494141,,,
16:12:2014 16:13:49:486,842.6489258,,,
16:12:2014 16:13:49:571,842.6489258,,,
16:12:2014 16:13:49:571,842.6494141,,,
16:12:2014 16:13:49:675,842.6494141,,,
16:12:2014 16:13:49:675,842.6489258,,,
16:12:2014 16:13:49:726,842.6489258,,,
16:12:2014 16:13:49:726,842.6494141,,,
16:12:2014 16:13:49:845,842.6494141,,,
16:12:2014 16:13:49:845,842.6489258,,,
16:12:2014 16:13:49:915,842.6489258,,,
16:12:2014 16:13:49:915,842.6494141,,,
16:12:2014 16:13:50:013,842.6494141,,,
16:12:2014 16:13:50:013,842.6489258,,,
16:12:2014 16:13:50:078,842.6489258,,,
16:12:2014 16:13:50:078,842.6494141,,,
16:12:2014 16:13:50:206,842.6494141,,,
16:12:2014 16:13:50:206,842.6489258,,,
16:12:2014 16:13:50:270,842.6489258,,,
16:12:2014 16:13:50:270,842.6494141,,,
16:12:2014 16:13:50:366,842.6494141,,,
16:12:2014 16:13:50:366,842.6489258,,,
16:12:2014 16:13:50:450,842.6489258,,,
16:12:2014 16:13:50:450,842.6494141,,,
16:12:2014 16:13:50:552,842.6494141,,,
16:12:2014 16:13:50:552,842.6489258,,,
16:12:2014 16:13:50:605,842.6489258,,,
16:12:2014 16:13:50:605,842.6494141,,,
16:12:2014 16:13:50:718,842.6494141,,,
16:12:2014 16:13:50:718,842.6489258,,,
16:12:2014 16:13:50:782,842.6489258,,,
16:12:2014 16:13:50:782,842.6494141,,,
16:12:2014 16:13:50:894,842.6494141,,,
16:12:2014 16:13:50:894,842.6489258,,,
16:12:2014 16:13:50:958,842.6489258,,,
16:12:2014 16:13:50:958,842.6494141,,,
16:12:2014 16:13:51:070,842.6494141,,,
16:12:2014 16:13:51:070,842.6489258,,,
16:12:2014 16:13:51:134,842.6489258,,,
16:12:2014 16:13:51:134,842.6494141,,,
16:12:2014 16:13:51:265,842.6494141,,,
16:12:2014 16:13:51:265,842.6489258,,,
16:12:2014 16:13:51:329,842.6489258,,,
16:12:2014 16:13:51:329,842.6494141,,,
16:12:2014 16:13:51:441,842.6494141,,,
16:12:2014 16:13:51:441,842.6489258,,,
16:12:2014 16:13:51:521,842.6489258,,,
16:12:2014 16:13:51:521,842.6494141,,,
16:12:2014 16:13:51:617,842.6494141,,,
16:12:2014 16:13:51:617,842.6489258,,,
16:12:2014 16:13:51:681,842.6489258,,,
16:12:2014 16:13:51:681,842.6494141,,,
16:12:2014 16:13:51:793,842.6494141,,,
16:12:2014 16:13:51:793,842.6489258,,,
16:12:2014 16:13:51:857,842.6489258,,,
16:12:2014 16:13:51:857,842.6494141,,,
16:12:2014 16:13:51:970,842.6494141,,,
16:12:2014 16:13:51:970,842.6489258,,,
16:12:2014 16:13:52:034,842.6489258,,,
16:12:2014 16:13:52:034,842.6494141,,,
16:12:2014 16:13:52:147,842.6494141,,,
16:12:2014 16:13:52:147,842.6489258,,,
16:12:2014 16:13:52:212,842.6489258,,,
16:12:2014 16:13:52:212,842.6494141,,,
16:12:2014 16:13:52:340,842.6494141,,,
16:12:2014 16:13:52:340,842.6489258,,,
16:12:2014 16:13:52:427,842.6489258,,,
16:12:2014 16:13:52:427,842.6494141,,,
16:12:2014 16:13:52:530,842.6494141,,,
16:12:2014 16:13:52:530,842.6489258,,,
16:12:2014 16:13:52:615,842.6489258,,,
16:12:2014 16:13:52:615,842.6494141,,,
16:12:2014 16:13:52:716,842.6494141,,,
16:12:2014 16:13:52:716,842.6489258,,,
16:12:2014 16:13:52:780,842.6489258,,,
16:12:2014 16:13:52:780,842.6494141,,,
16:12:2014 16:13:52:911,842.6494141,,,
16:12:2014 16:13:52:911,842.6489258,,,
16:12:2014 16:13:52:993,842.6489258,,,
16:12:2014 16:13:52:993,842.6494141,,,
16:12:2014 16:13:53:091,842.6494141,,,
16:12:2014 16:13:53:091,842.6489258,,,
16:12:2014 16:13:53:172,842.6489258,,,
16:12:2014 16:13:53:172,842.6494141,,,
16:12:2014 16:13:53:317,842.6494141,,,
16:12:2014 16:13:53:317,842.6489258,,,
16:12:2014 16:13:53:397,842.6489258,,,
16:12:2014 16:13:53:397,842.6494141,,,
16:12:2014 16:13:53:524,842.6494141,,,
16:12:2014 16:13:53:524,842.6489258,,,
16:12:2014 16:13:53:588,842.6489258,,,
16:12:2014 16:13:53:588,842.6494141,,,
16:12:2014 16:13:53:684,842.6494141,,,
16:12:2014 16:13:53:684,842.6489258,,,
16:12:2014 16:13:53:755,842.6489258,,,
16:12:2014 16:13:53:755,842.6494141,,,
16:12:2014 16:13:53:871,842.6494141,,,
16:12:2014 16:13:53:871,842.6489258,,,
16:12:2014 16:13:53:951,842.6489258,,,
16:12:2014 16:13:53:951,842.6494141,,,
16:12:2014 16:13:54:079,842.6494141,,,
16:12:2014 16:13:54:079,842.6489258,,,
16:12:2014 16:13:54:159,842.6489258,,,
16:12:2014 16:13:54:159,842.6494141,,,
16:12:2014 16:13:54:287,842.6494141,,,
16:12:2014 16:13:54:287,842.6489258,,,
16:12:2014 16:13:54:368,842.6489258,,,
16:12:2014 16:13:54:368,842.6494141,,,
16:12:2014 16:13:54:498,842.6494141,,,
16:12:2014 16:13:54:498,842.6489258,,,
16:12:2014 16:13:54:562,842.6489258,,,
16:12:2014 16:13:54:562,842.6494141,,,
16:12:2014 16:13:54:710,842.6494141,,,
16:12:2014 16:13:54:710,842.6489258,,,
16:12:2014 16:13:54:763,842.6489258,,,
16:12:2014 16:13:54:763,842.6494141,,,
16:12:2014 16:13:54:899,842.6494141,,,
16:12:2014 16:13:54:899,842.6489258,,,
16:12:2014 16:13:54:984,842.6489258,,,
16:12:2014 16:13:54:984,842.6494141,,,
16:12:2014 16:13:55:088,842.6494141,,,
16:12:2014 16:13:55:088,842.6489258,,,
16:12:2014 16:13:55:171,842.6489258,,,
16:12:2014 16:13:55:171,842.6494141,,,
16:12:2014 16:13:55:283,842.6494141,,,
16:12:2014 16:13:55:283,842.6489258,,,
16:12:2014 16:13:55:379,842.6489258,,,
16:12:2014 16:13:55:379,842.6494141,,,
16:12:2014 16:13:55:506,842.6494141,,,
16:12:2014 16:13:55:506,842.6489258,,,
16:12:2014 16:13:55:570,842.6489258,,,
16:12:2014 16:13:55:570,842.6494141,,,
16:12:2014 16:13:55:698,842.6494141,,,
16:12:2014 16:13:55:698,842.6489258,,,
16:12:2014 16:13:55:778,842.6489258,,,
16:12:2014 16:13:55:778,842.6494141,,,
16:12:2014 16:13:55:906,842.6494141,,,
16:12:2014 16:13:55:906,842.6489258,,,
16:12:2014 16:13:56:002,842.6489258,,,
16:12:2014 16:13:56:002,842.6494141,,,
16:12:2014 16:13:56:162,842.6494141,,,
16:12:2014 16:13:56:162,842.6489258,,,
16:12:2014 16:13:56:242,842.6489258,,,
16:12:2014 16:13:56:242,842.6494141,,,
16:12:2014 16:13:56:388,842.6494141,,,
16:12:2014 16:13:56:388,842.6489258,,,
16:12:2014 16:13:56:469,842.6489258,,,
16:12:2014 16:13:56:469,842.6494141,,,
16:12:2014 16:13:56:600,842.6494141,,,
16:12:2014 16:13:56:600,842.6489258,,,
16:12:2014 16:13:56:670,842.6489258,,,
16:12:2014 16:13:56:670,842.6494141,,,
16:12:2014 16:13:56:789,842.6494141,,,
16:12:2014 16:13:56:789,842.6489258,,,
16:12:2014 16:13:56:893,842.6489258,,,
16:12:2014 16:13:56:893,842.6494141,,,
16:12:2014 16:13:57:023,842.6494141,,,
16:12:2014 16:13:57:023,842.6489258,,,
16:12:2014 16:13:57:103,842.6489258,,,
16:12:2014 16:13:57:103,842.6494141,,,
16:12:2014 16:13:57:249,842.6494141,,,
16:12:2014 16:13:57:249,842.6489258,,,
16:12:2014 16:13:57:330,842.6489258,,,
16:12:2014 16:13:57:330,842.6494141,,,
16:12:2014 16:13:57:474,842.6494141,,,
16:12:2014 16:13:57:474,842.6489258,,,
16:12:2014 16:13:57:554,842.6489258,,,
16:12:2014 16:13:57:554,842.6494141,,,
16:12:2014 16:13:57:698,842.6494141,,,
16:12:2014 16:13:57:698,842.6489258,,,
16:12:2014 16:13:57:782,842.6489258,,,
16:12:2014 16:13:57:782,842.6494141,,,
16:12:2014 16:13:57:921,842.6494141,,,
16:12:2014 16:13:57:921,842.6489258,,,
16:12:2014 16:13:58:006,842.6489258,,,
16:12:2014 16:13:58:006,842.6494141,,,
16:12:2014 16:13:58:161,842.6494141,,,
16:12:2014 16:13:58:161,842.6489258,,,
16:12:2014 16:13:58:263,842.6489258,,,
16:12:2014 16:13:58:263,842.6494141,,,
16:12:2014 16:13:58:385,842.6494141,,,
16:12:2014 16:13:58:385,842.6489258,,,
16:12:2014 16:13:58:487,842.6489258,,,
16:12:2014 16:13:58:487,842.6494141,,,
16:12:2014 16:13:58:619,842.6494141,,,
16:12:2014 16:13:58:619,842.6489258,,,
16:12:2014 16:13:58:700,842.6489258,,,
16:12:2014 16:13:58:700,842.6494141,,,
16:12:2014 16:13:58:845,842.6494141,,,
16:12:2014 16:13:58:845,842.6489258,,,
16:12:2014 16:13:58:942,842.6489258,,,
16:12:2014 16:13:58:942,842.6494141,,,
16:12:2014 16:13:59:090,842.6494141,,,
16:12:2014 16:13:59:090,842.6489258,,,
16:12:2014 16:13:59:202,842.6489258,,,
16:12:2014 16:13:59:202,842.6494141,,,
16:12:2014 16:13:59:318,842.6494141,,,
16:12:2014 16:13:59:318,842.6489258,,,
16:12:2014 16:13:59:388,842.6489258,,,
16:12:2014 16:13:59:388,842.6494141,,,
16:12:2014 16:13:59:541,842.6494141,,,
16:12:2014 16:13:59:541,842.6489258,,,
16:12:2014 16:13:59:611,842.6489258,,,
16:12:2014 16:13:59:611,842.6494141,,,
16:12:2014 16:13:59:730,842.6494141,,,
16:12:2014 16:13:59:730,842.6489258,,,
16:12:2014 16:13:59:815,842.6489258,,,
16:12:2014 16:13:59:815,842.6494141,,,
16:12:2014 16:13:59:954,842.6494141,,,
16:12:2014 16:13:59:954,842.6489258,,,
16:12:2014 16:14:00:057,842.6489258,,,
16:12:2014 16:14:00:057,842.6494141,,,
16:12:2014 16:14:00:196,842.6494141,,,
16:12:2014 16:14:00:196,842.6489258,,,
16:12:2014 16:14:00:281,842.6489258,,,
16:12:2014 16:14:00:281,842.6494141,,,
16:12:2014 16:14:00:420,842.6494141,,,
16:12:2014 16:14:00:420,842.6489258,,,
16:12:2014 16:14:00:488,842.6489258,,,
16:12:2014 16:14:00:488,842.6494141,,,
16:12:2014 16:14:00:644,842.6494141,,,
16:12:2014 16:14:00:644,842.6489258,,,
16:12:2014 16:14:00:729,842.6489258,,,
16:12:2014 16:14:00:729,842.6494141,,,
16:12:2014 16:14:00:867,842.6494141,,,
16:12:2014 16:14:00:867,842.6489258,,,
16:12:2014 16:14:00:971,842.6489258,,,
16:12:2014 16:14:00:971,842.6494141,,,
16:12:2014 16:14:01:090,842.6494141,,,
16:12:2014 16:14:01:090,842.6489258,,,
16:12:2014 16:14:01:192,842.6489258,,,
16:12:2014 16:14:01:192,842.6494141,,,
16:12:2014 16:14:01:330,842.6494141,,,
16:12:2014 16:14:01:330,842.6489258,,,
16:12:2014 16:14:01:452,842.6489258,,,
16:12:2014 16:14:01:452,842.6494141,,,
16:12:2014 16:14:01:605,842.6494141,,,
16:12:2014 16:14:01:605,842.6489258,,,
16:12:2014 16:14:01:675,842.6489258,,,
16:12:2014 16:14:01:675,842.6494141,,,
16:12:2014 16:14:01:828,842.6494141,,,
